Exp m/z,Flag,Index,Class,DBE,Neutral DBE,Formula,Adduct,Mono Abund,Total Abund,Calc m/z,mDa Error,ppm Error,Kendrick m/z,KMD,Z Number,#C,#H,#N,#O,#S,H/C,N/C,O/C,S/C
433.13407,+,214,O12,6.5,7,C18H24O12,H,14256328,17548980.89,433.134053,-0.0173,-0.04,432.6504,0.3496,-12,18,24,0,12,0,1.3333,0,0.6667,0
435.14971,+,211,O12,5.5,6,C18H26O12,H,918751,1083145,435.149703,-0.0072,-0.0167,434.6638,0.3362,-10,18,26,0,12,0,1.4444,0,0.6667,0
439.14458,+,262,O13,4.5,5,C17H26O13,H,1203467,1462855.46,439.144617,0.0374,0.0851,438.6542,0.3458,-8,17,26,0,13,0,1.5294,0,0.7647,0
445.1341,+,219,O12,7.5,8,C19H24O12,H,795981,963192.69,445.134053,-0.0473,-0.1063,444.6371,0.3629,-14,19,24,0,12,0,1.2632,0,0.6316,0
449.12893,+,268,O13,6.5,7,C18H24O13,H,1518454,1806967,449.128967,0.0373,0.0831,448.6274,0.3726,-12,18,24,0,13,0,1.3333,0,0.7222,0
451.1446,+,265,O13,5.5,6,C18H26O13,H,6390155,7915441.38,451.144617,0.0174,0.0385,450.6408,0.3592,-10,18,26,0,13,0,1.4444,0,0.7222,0
453.16021,+,263,O13,4.5,5,C18H28O13,H,856991,1017223,453.160267,0.0574,0.1268,452.6542,0.3458,-8,18,28,0,13,0,1.5556,0,0.7222,0
457.13403,+,225,O12,8.5,9,C20H24O12,H,1138629,1344531,457.134053,0.0227,0.0496,456.6236,0.3764,-16,20,24,0,12,0,1.2,0,0.6,0
457.15514,+,311,O14,3.5,4,C17H28O14,H,2415045,2961873.34,457.155182,0.0421,0.092,456.6447,0.3553,-6,17,28,0,14,0,1.6471,0,0.8235,0
463.14462,+,269,O13,6.5,7,C19H26O13,H,629243,761667.74,463.144617,-0.0026,-0.0057,462.6275,0.3725,-12,19,26,0,13,0,1.3684,0,0.6842,0
469.1552,+,314,O14,4.5,5,C18H28O14,H,7979567,9899950.97,469.155182,-0.0179,-0.0382,468.6313,0.3687,-8,18,28,0,14,0,1.5556,0,0.7778,0
475.14464,+,273,O13,7.5,8,C20H26O13,H,857183,1046848.97,475.144617,-0.0226,-0.0476,474.6141,0.3859,-14,20,26,0,13,0,1.3,0,0.65,0
481.134,+,236,O12,10.5,11,C22H24O12,H,661645,822105.25,481.134053,0.0527,0.1095,480.5968,0.4032,-20,22,24,0,12,0,1.0909,0,0.5455,0
483.14974,+,231,O12,9.5,10,C22H26O12,H,884124,1098539.22,483.149703,-0.0372,-0.0771,482.6102,0.3898,-18,22,26,0,12,0,1.1818,0,0.5455,0
486.18173,+,1326,NO14,3.5,4,C18H31NO14,H,697011,836424.4,486.181731,0.0012,0.0024,485.6389,0.3611,-5,18,31,1,14,0,1.7222,0.0556,0.7778,0
487.14475,+,278,O13,8.5,9,C21H26O13,H,810938,999142.38,487.144617,-0.1326,-0.2723,486.6008,0.3992,-16,21,26,0,13,0,1.2381,0,0.619,0
487.16586,+,87,O15,3.5,4,C18H30O15,H,70240952,87145944,487.165747,0.1133,0.2325,486.6219,0.3781,-6,18,30,0,15,0,1.6667,0,0.8333,0
493.1341,+,241,O12,11.5,12,C23H24O12,H,785380,984342.57,493.134053,-0.0473,-0.0959,492.5835,0.4165,-22,23,24,0,12,0,1.0435,0,0.5217,0
493.15523,+,321,O14,6.5,7,C20H28O14,H,1702116,2055759,493.155182,-0.0479,-0.0972,492.6046,0.3954,-12,20,28,0,14,0,1.4,0,0.7,0
495.1497,+,237,O12,10.5,11,C23H26O12,H,1053682,1291627,495.149703,0.0028,0.0056,494.5968,0.4032,-20,23,26,0,12,0,1.1304,0,0.5217,0
497.15003,+,92,O15,5.5,6,C19H28O15,H,638976,762471,497.150097,0.0667,0.1341,496.5949,0.4051,-10,19,28,0,15,0,1.4737,0,0.7895,0
497.16528,+,232,O12,9.5,10,C23H28O12,H,711424,891651.08,497.165353,0.0728,0.1465,496.6101,0.3899,-18,23,28,0,12,0,1.2174,0,0.5217,0
499.14459,+,283,O13,9.5,10,C22H26O13,H,2103054,2576419,499.144617,0.0274,0.0548,498.5872,0.4128,-18,22,26,0,13,0,1.1818,0,0.5909,0
499.16571,+,90,O15,4.5,5,C19H30O15,H,2382606,2878854.6,499.165747,0.0367,0.0736,498.6083,0.3917,-8,19,30,0,15,0,1.5789,0,0.7895,0
501.16028,+,279,O13,8.5,9,C22H28O13,H,959260,1141375,501.160267,-0.0126,-0.0251,500.6007,0.3993,-16,22,28,0,13,0,1.2727,0,0.5909,0
504.19234,+,1203,NO15,2.5,3,C18H33NO15,H,2889521,3516536.76,504.192296,0.0442,0.0876,503.6294,0.3706,-3,18,33,1,15,0,1.8333,0.0556,0.8333,0
505.1552,+,326,O14,7.5,8,C21H28O14,H,936247,1153890.03,505.155182,-0.0179,-0.0355,504.5911,0.4089,-14,21,28,0,14,0,1.3333,0,0.6667,0
511.14457,+,288,O13,10.5,11,C23H26O13,H,1538400,1925446,511.144617,0.0474,0.0927,510.5738,0.4262,-20,23,26,0,13,0,1.1304,0,0.5652,0
511.16571,+,93,O15,5.5,6,C20H30O15,H,2205536,2687831.44,511.165747,0.0367,0.0719,510.5949,0.4051,-10,20,30,0,15,0,1.5,0,0.75,0
513.16022,+,284,O13,9.5,10,C23H28O13,H,1125741,1393073.13,513.160267,0.0474,0.0924,512.5872,0.4128,-18,23,28,0,13,0,1.2174,0,0.5652,0
517.1552,+,330,O14,8.5,9,C22H28O14,H,1175432,1466096.07,517.155182,-0.0179,-0.0347,516.5777,0.4223,-16,22,28,0,14,0,1.2727,0,0.6364,0
523.14456,+,294,O13,11.5,12,C24H26O13,H,613042,759467,523.144617,0.0574,0.1097,522.5604,0.4396,-22,24,26,0,13,0,1.0833,0,0.5417,0
523.16569,+,98,O15,6.5,7,C21H30O15,H,1276338,1541099,523.165747,0.0567,0.1085,522.5815,0.4185,-12,21,30,0,15,0,1.4286,0,0.7143,0
529.1552,+,334,O14,9.5,10,C23H28O14,H,1545692,1985395.77,529.155182,-0.0179,-0.0339,528.5643,0.4357,-18,23,28,0,14,0,1.2174,0,0.6087,0
529.17631,+,1028,O16,4.5,5,C20H32O16,H,1133020,1400068.58,529.176311,0.0014,0.0027,528.5854,0.4146,-8,20,32,0,16,0,1.6,0,0.8,0
535.16584,+,103,O15,7.5,8,C22H30O15,H,1175047,1434390,535.165747,-0.0933,-0.1743,534.5683,0.4317,-14,22,30,0,15,0,1.3636,0,0.6818,0
537.18135,+,99,O15,6.5,7,C22H32O15,H,701206,846836,537.181397,0.0468,0.0871,536.5815,0.4185,-12,22,32,0,15,0,1.4545,0,0.6818,0
541.15523,+,339,O14,10.5,11,C24H28O14,H,912949,1126897,541.155182,-0.0479,-0.0886,540.551,0.449,-20,24,28,0,14,0,1.1667,0,0.5833,0
547.16562,+,108,O15,8.5,9,C23H30O15,H,1464420,1796176,547.165747,0.1267,0.2316,546.5546,0.4454,-16,23,30,0,15,0,1.3043,0,0.6522,0
553.1763,+,1034,O16,6.5,7,C22H32O16,H,620950,738164,553.176311,0.0114,0.0207,552.5586,0.4414,-12,22,32,0,16,0,1.4545,0,0.7273,0
559.16581,+,112,O15,9.5,10,C24H30O15,H,1092298,1367708,559.165747,-0.0633,-0.1131,558.5414,0.4586,-18,24,30,0,15,0,1.25,0,0.625,0
565.1764,+,1038,O16,7.5,8,C23H32O16,H,2116864,2658620,565.176311,-0.0886,-0.1567,564.5453,0.4547,-14,23,32,0,16,0,1.3913,0,0.6957,0
577.17642,+,1041,O16,8.5,9,C24H32O16,H,1859444,2353446.76,577.176311,-0.1086,-0.1881,576.5319,0.4681,-16,24,32,0,16,0,1.3333,0,0.6667,0
583.18691,+,1128,O17,6.5,7,C23H34O17,H,2287026,2874247.01,583.186876,-0.0339,-0.0581,582.5357,0.4643,-12,23,34,0,17,0,1.4783,0,0.7391,0
595.1869,+,1131,O17,7.5,8,C24H34O17,H,1414197,1818481.82,595.186876,-0.0239,-0.0401,594.5223,0.4777,-14,24,34,0,17,0,1.4167,0,0.7083,0
613.19734,+,1217,O18,6.5,7,C24H36O18,H,1065743,1357672.71,613.197441,0.1008,0.1644,612.5126,0.4874,-12,24,36,0,18,0,1.5,0,0.75,0
631.20812,+,1257,O19,5.5,6,C24H38O19,H,1042437,1361276.73,631.208005,-0.1145,-0.1814,630.5033,0.4967,-10,24,38,0,19,0,1.5833,0,0.7917,0
649.21856,+,1018,O20,4.5,5,C24H40O20,H,9781528,9781528,649.21857,0.0102,0.0157,648.4936,-0.4936,-8,24,40,0,20,0,1.6667,0,0.8333,0
