m/z, I
335.12781, 440216
335.16420, 78009
336.09924, 79884
336.13118, 100892
336.13563, 125436
337.10707, 582304
337.14346, 568865
338.11043, 137829
338.11490, 267045
338.14686, 142661
338.15133, 110469
339.08628, 73369
339.12268, 2451113
339.15911, 431657
340.12605, 559405
340.13052, 516653
340.16248, 108557
341.10197, 230898
341.13396, 131730
341.13835, 3314866
341.17477, 140914
342.14172, 727478
342.14619, 477622
343.11760, 454203
343.14506, 91611
343.15300, 142779
343.15399, 2020539
344.12099, 96608
344.12545, 120768
344.15740, 458048
344.16188, 135360
345.11217, 130404
345.13325, 545988
345.14854, 70741
345.16963, 278149
346.13663, 112873
346.17303, 75802
347.09149, 70238
347.12785, 272014
347.14892, 165646
347.16420, 68894
348.13117, 77059
348.13562, 108563
349.10708, 238552
349.11291, 144600
349.14346, 380121
350.11492, 111710
350.14500, 82622
350.14686, 99246
350.14785, 111198
350.15131, 85726
351.12273, 684003
351.15914, 366435
352.12609, 166184
352.13058, 136360
352.16248, 99720
353.10198, 203758
353.13731, 69934
353.13836, 960238
353.17475, 175982
354.10338, 73091
354.10628, 87763
354.10977, 70787
354.14168, 236851
354.14617, 145043
354.17618, 88243
354.17910, 106515
355.11758, 668153
355.15400, 772345
356.12098, 141054
356.12541, 149310
356.15738, 185983
357.13217, 102788
357.13325, 1510148
357.13432, 103172
357.16970, 315012
358.13455, 533002
358.13650, 323850
358.13754, 794378
358.14110, 146634
358.17308, 69386
359.12781, 159696
359.14892, 652560
360.14416, 85366
360.15224, 136790
360.15675, 131414
361.10703, 150907
361.12814, 87483
361.14346, 279131
361.16460, 91612
362.14683, 75905
362.15127, 68433
362.17235, 71778
363.12271, 378663
363.15909, 260648
364.12607, 89741
364.13053, 123373
364.16249, 70366
365.10198, 106227
365.13837, 744244
365.17475, 192436
366.14175, 165818
366.14622, 123674
367.11762, 239616
367.15402, 696640
367.19048, 72736
368.12099, 69990
368.15737, 191623
369.13326, 488525
369.16968, 411981
369.35156, 130510
370.13660, 111091
370.17297, 113715
371.11253, 91481
371.12786, 109273
371.14894, 419802
371.18533, 94202
372.15230, 115424
373.10707, 85350
373.12815, 187558
373.14342, 149478
373.16451, 167527
374.11685, 72269
374.14718, 80909
375.12272, 211187
375.14380, 234292
375.15910, 197812
376.13057, 74490
377.10199, 75440
377.13836, 412417
377.17478, 158273
378.14172, 121223
378.14618, 89863
378.17530, 84648
378.17858, 110760
379.11766, 222926
379.15404, 564238
379.19044, 80494
380.15738, 144341
381.13331, 416027
381.16970, 388124
381.35157, 79773
382.13369, 82978
382.13683, 157698
382.17302, 84898
383.11257, 70041
383.14895, 454313
383.18535, 177769
383.36720, 190122
384.15229, 130704
385.12820, 128790
385.14352, 127446
385.16459, 268791
386.16486, 115645
386.16851, 107069
387.12272, 135940
387.14381, 170436
387.15913, 178884
387.18022, 82692
388.13054, 68011
389.13837, 315090
389.15947, 83986
389.17479, 130802
390.14178, 76649
390.14623, 89433
391.11766, 163295
391.12352, 116831
391.15405, 486496
391.19041, 88288
392.15735, 118982
393.13326, 322541
393.16966, 327661
393.35155, 69663
394.13667, 92884
394.14112, 116788
394.17303, 91476
395.14890, 486267
395.18529, 172795
395.36721, 251196
396.15223, 119874
396.37060, 78979
397.12820, 120489
397.16459, 357513
397.34647, 480394
397.38286, 899594
398.16795, 75888
398.34981, 123217
398.38619, 260625
399.12277, 90646
399.14387, 213334
399.15921, 100054
399.18025, 118135
401.13837, 201060
401.15949, 137956
401.17479, 114852
402.14617, 100619
403.11761, 101425
403.15403, 371378
403.19044, 79218
404.15743, 93080
404.16186, 80664
405.13330, 286015
405.16969, 352447
406.14114, 84182
406.17308, 95014
407.14896, 530125
407.18536, 191629
408.15226, 134931
408.15674, 130547
409.12818, 103802
409.16457, 439386
409.20096, 84026
409.34649, 92987
409.38284, 169180
410.16393, 107457
410.16792, 142465
411.14385, 192423
411.18023, 223464
411.36211, 1179241
411.39852, 192041
412.36547, 392687
413.13843, 129876
413.15950, 167413
413.17479, 101333
413.37776, 176502
414.19915, 69211
415.11769, 93153
415.15406, 274434
